SectorName,SiteID,lat,long
Ciudad Nueva,CN02,18.466671,-69.8902913
Ciudad Nueva,CN03,18.466605,-69.89121565
Ciudad Nueva,CN04,18.467589,-69.8927606
Ciudad Nueva,CN09,18.471686,-69.89199136
Ciudad Nueva,CN12,18.466877,-69.89544857
Ciudad Nueva,CN13,18.466398,-69.89381811
Ciudad Nueva,CN14,18.468806,-69.89381524
Ciudad Nueva,CN18,18.467241,-69.89305558
Ciudad Nueva,CN21,18.466854,-69.88963337
Ciudad Nueva,CN22,18.467671,-69.89197715
Ciudad Nueva,CN25,18.465493,-69.89418085
Ciudad Nueva,CN27,18.468068,-69.89140057
Ciudad Nueva,CN30,18.468812,-69.89099006
Ciudad Nueva,CN33,18.470436,-69.89129448
Ciudad Nueva,CN34,18.466067,-69.89307674
Gazcue,GA01,18.465981,-69.9102962
Gazcue,GA03,18.475904,-69.89741785
Gazcue,GA04,18.469754,-69.89690016
Gazcue,GA05,18.47297,-69.89527455
Gazcue,GA06,18.461244,-69.90594425
Gazcue,GA07,18.467591,-69.90580626
Gazcue,GA08,18.468802,-69.9026387
Gazcue,GA09,18.470886,-69.90581727
Gazcue,GA10,18.46406,-69.90678
Gazcue,GA115,18.47204,-69.90735
Gazcue,GA121,18.46255,-69.89966
Gazcue,GA172,18.46787,-69.91065
Gazcue,GA173,18.47035,-69.90355
Gazcue,GA209,18.466347,-69.898214
Gazcue,GA222,18.464489,-69.903105
Gazcue,GA42,18.47514,-69.90622
Gazcue,GA64,18.46383,-69.89469
Gazcue,GA88,18.46188,-69.9081
Gazcue,GA999,18.47648,-69.8963
San Carlos,SC01,18.47336,-69.89348
San Carlos,SC06,18.47893,-69.89414
San Carlos,SC07,18.47528,-69.89523
San Carlos,SC08,18.47985,-69.89456
San Carlos,SC10,18.47368,-69.89175
San Carlos,SC11,18.47942,-69.8963
San Carlos,SC15,18.47639,-69.89322
San Carlos,SC16,18.47716,-69.89696
San Carlos,SC17,18.47877,-69.89851
San Carlos,SC20,18.47598,-69.89055
San Carlos,SC23,18.48,-69.89359
San Carlos,SC26,18.47779,-69.89535
San Carlos,SC28,18.475402,-69.89322
San Carlos,SC29,18.47594,-69.89167
San Carlos,SC31,18.47263,-69.89303
San Carlos,SC35,18.47395,-69.89401
Zona Colonial,ZC01,18.476334,-69.88389779
Zona Colonial,ZC06,18.471549,-69.88587064
Zona Colonial,ZC07,18.477976,-69.88516745
Zona Colonial,ZC08,18.479124,-69.8844299
Zona Colonial,ZC09,18.469423,-69.88372074
Zona Colonial,ZC11,18.469201,-69.884449
Zona Colonial,ZC12,18.47074,-69.88592643
Zona Colonial,ZC14,18.47653,-69.88690316
Zona Colonial,ZC15,18.472165,-69.89107058
Zona Colonial,ZC17,18.472658,-69.887195
Zona Colonial,ZC21,18.469194,-69.88759545
Zona Colonial,ZC37,18.473611,-69.886194
Zona Colonial,ZCA01,18.47333799,-69.88397897
Zona Colonial,ZCA02,18.47495897,-69.88315796
Zona Colonial,ZCA03,18.47477297,-69.88540599
Zona Colonial,ZCA04,18.47754604,-69.88595903
Zona Colonial,ZCA05,18.47216503,-69.88424703
Zona Colonial,ZCA06,18.47062502,-69.88443532
Zona Colonial,ZCA07,18.47172397,-69.88253301
