SectorName,SectorID,SiteID,lat,long,PlotNum,itreeplotID
Ciudad Nueva,CN,CN02,18.466671,-69.8902913,2,CN0002
Ciudad Nueva,CN,CN03,18.466605,-69.89121565,3,CN0003
Ciudad Nueva,CN,CN04,18.467589,-69.8927606,4,CN0004
Ciudad Nueva,CN,CN09,18.471686,-69.89199136,9,CN0009
Ciudad Nueva,CN,CN12,18.466877,-69.89544857,12,CN0012
Ciudad Nueva,CN,CN13,18.466398,-69.89381811,13,CN0013
Ciudad Nueva,CN,CN14,18.468806,-69.89381524,14,CN0014
Ciudad Nueva,CN,CN18,18.467241,-69.89305558,18,CN0018
Ciudad Nueva,CN,CN21,18.466854,-69.88963337,21,CN0021
Ciudad Nueva,CN,CN22,18.467671,-69.89197715,22,CN0022
Ciudad Nueva,CN,CN25,18.465493,-69.89418085,25,CN0025
Ciudad Nueva,CN,CN27,18.468068,-69.89140057,27,CN0027
Ciudad Nueva,CN,CN30,18.468812,-69.89099006,30,CN0030
Ciudad Nueva,CN,CN33,18.470436,-69.89129448,33,CN0033
Ciudad Nueva,CN,CN34,18.466067,-69.89307674,34,CN0034
Gazcue,GA,GA01,18.465981,-69.9102962,1,GA0001
Gazcue,GA,GA03,18.475904,-69.89741785,3,GA0003
Gazcue,GA,GA04,18.469754,-69.89690016,4,GA0004
Gazcue,GA,GA05,18.47297,-69.89527455,5,GA0005
Gazcue,GA,GA06,18.461244,-69.90594425,6,GA0006
Gazcue,GA,GA07,18.467591,-69.90580626,7,GA0007
Gazcue,GA,GA08,18.468802,-69.9026387,8,GA0008
Gazcue,GA,GA09,18.470886,-69.90581727,9,GA0009
Gazcue,GA,GA10,18.46406,-69.90678,10,GA0010
Gazcue,GA,GA115,18.47204,-69.90735,14,GA0014
Gazcue,GA,GA121,18.46255,-69.89966,15,GA0015
Gazcue,GA,GA172,18.46787,-69.91065,17,GA0017
Gazcue,GA,GA173,18.47035,-69.90355,18,GA0018
Gazcue,GA,GA209,18.466347,-69.898214,19,GA0019
Gazcue,GA,GA222,18.464489,-69.903105,20,GA0020
Gazcue,GA,GA42,18.47514,-69.90622,11,GA0011
Gazcue,GA,GA64,18.46383,-69.89469,12,GA0012
Gazcue,GA,GA88,18.46188,-69.9081,13,GA0013
San Carlos,SC,SC01,18.47336,-69.89348,22,SC0022
San Carlos,SC,SC06,18.47893,-69.89414,23,SC0023
San Carlos,SC,SC07,18.47528,-69.89523,24,SC0024
San Carlos,SC,SC08,18.47985,-69.89456,25,SC0025
San Carlos,SC,SC10,18.47368,-69.89175,26,SC0026
San Carlos,SC,SC11,18.47942,-69.8963,27,SC0027
San Carlos,SC,SC16,18.47716,-69.896960000000007,29,SC0029
San Carlos,SC,SC17,18.47877,-69.89851,20,SC0020
San Carlos,SC,SC20,18.47598,-69.89055,31,SC0031
San Carlos,SC,SC23,18.48,-69.89359,32,SC0032
San Carlos,SC,SC26,18.47779,-69.89535,33,SC0033
San Carlos,SC,SC28,18.475402,-69.89322,28,SC0028
San Carlos,SC,SC29,18.47594,-69.89167,34,SC0034
San Carlos,SC,SC31,18.47263,-69.89303,35,SC0035
San Carlos,SC,SC35,18.47395,-69.89401,36,SC0036
Zona Colonial,ZC,ZC01,18.476334,-69.88389779,1,ZC0001
Zona Colonial,ZC,ZC06,18.471549,-69.88587064,6,ZC0006
Zona Colonial,ZC,ZC07,18.477976,-69.88516745,7,ZC0007
Zona Colonial,ZC,ZC08,18.479124,-69.8844299,8,ZC0008
Zona Colonial,ZC,ZC09,18.469423,-69.88372074,9,ZC0009
Zona Colonial,ZC,ZC11,18.4692,-69.88445,11,ZC0011
Zona Colonial,ZC,ZC12,18.47074,-69.88592643,12,ZC0012
Zona Colonial,ZC,ZC14,18.47653,-69.88690316,14,ZC0014
Zona Colonial,ZC,ZC15,18.472165,-69.89107058,15,ZC0015
Zona Colonial,ZC,ZC17,18.472658,-69.887195,17,ZC0017
Zona Colonial,ZC,ZC21,18.469194,-69.88759545,21,ZC0021
Zona Colonial,ZC,ZC37,18.473611,-69.886194,136,ZC0136
Zona Colonial,ZC,ZCA04,18.47754604,-69.88595903,NA,NA
Zona Colonial,ZC,ZCA06,18.47062502,-69.88443532,NA,NA
Gazcue,GA,GA999,18.47648,-69.8963,NA,NA
San Carlos,SC,SC15,18.47639,-69.89322,NA,NA
Zona Colonial,ZC,ZCA01,18.47333799,-69.88397897,NA,NA
Zona Colonial,ZC,ZCA02,18.47495897,-69.88315796,NA,NA
Zona Colonial,ZC,ZCA03,18.47477297,-69.88540599,NA,NA
Zona Colonial,ZC,ZCA05,18.47216503,-69.88424703,NA,NA
Zona Colonial,ZC,ZCA07,18.47172397,-69.88253301,NA,NA
