Plot ID,Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
2,1,Florida royal palm,6.5,759.89,53.2,3.54,12.5,0.83,0.3,0.00,-1.4,-0.09,0.2,0.02,-0.58,0.18
2,2,Areca palm,6.9,587.89,51.4,3.42,6.6,0.44,0.4,0.00,2.1,0.14,0.2,0.02,1.02,1.62
2,3,Areca palm,5.7,638.78,42.4,2.82,5.7,0.38,0.2,0.00,-2.5,-0.17,0.1,0.01,-0.96,-0.73
4,1,Areca palm,5.9,474.39,43.1,2.86,5.7,0.38,1.7,0.02,2.6,0.17,0.9,0.08,1.54,2.19
7,1,Mango,23.3,"3,877.02","2,160.6",143.73,152.9,10.17,131.1,1.17,,,66.4,6.35,,17.70
7,2,Puerto rico royal palm,12.8,839.96,401.9,26.73,30.1,2.00,7.4,0.07,,,3.8,0.36,,2.43
7,3,Cecropia,14.6,"1,655.30","1,054.8",70.17,121.6,8.09,101.6,0.91,,,51.5,4.93,,13.92
7,4,African tulip tree,4.3,156.79,46.5,3.09,6.2,0.41,45.2,0.40,,,22.9,2.19,,3.00
7,5,Spanish lime,25.1,"4,452.10","7,715.7",513.28,309.1,20.56,126.0,1.13,,,63.9,6.11,,27.80
7,6,Royal poinciana,31.6,"6,768.48","4,060.0",270.09,134.3,8.94,23.7,0.21,,,12.0,1.15,,10.29
8,1,Pink Poui,6.3,518.89,100.8,6.71,28.3,1.88,1.4,0.01,0.0,0.00,0.7,0.07,0.00,1.96
8,2,Manila,5.1,614.16,42.7,2.84,7.7,0.51,1.3,0.01,9.0,0.60,0.7,0.06,5.30,6.49
8,3,Manila,4.7,515.44,37.5,2.49,7.2,0.48,1.9,0.02,10.5,0.70,0.9,0.09,6.17,7.44
8,4,Manila,5.7,811.59,53.9,3.59,8.7,0.58,1.0,0.01,9.4,0.62,0.5,0.05,5.52,6.77
8,5,Manila,5.4,657.40,47.9,3.19,7.7,0.51,1.2,0.01,17.7,1.18,0.6,0.06,10.08,11.84
8,6,Manila,3.8,456.21,28.1,1.87,6.1,0.41,0.7,0.01,8.3,0.55,0.4,0.03,4.87,5.87
9,1,Indian albizia,5.9,689.94,73.7,4.91,30.8,2.05,21.7,0.19,2.7,0.18,11.0,1.05,1.91,5.38
10,1,Manilkara spp,6.5,644.01,151.9,10.11,28.8,1.91,2.7,0.02,24.7,1.65,1.4,0.13,14.24,17.96
10,2,Cabbage palmetto,20.2,219.00,250.8,16.68,14.4,0.96,5.5,0.05,28.8,1.92,2.8,0.27,14.86,18.05
10,3,Sea grape,12.4,"1,630.34",784.5,52.19,44.7,2.97,3.8,0.03,16.9,1.12,1.9,0.19,8.67,12.99
11,1,Manila,5.1,313.76,34.3,2.28,6.8,0.45,0.7,0.01,0.4,0.03,0.4,0.03,0.17,0.70
11,2,Haitian catalpa,23.2,"4,020.63","2,529.4",168.27,206.9,13.76,28.7,0.26,38.7,2.57,14.5,1.39,19.46,37.45
11,3,Manila,4.8,329.36,33.2,2.21,3.6,0.24,0.9,0.01,0.5,0.03,0.4,0.04,0.23,0.55
11,4,Manila,4.6,344.97,31.8,2.12,6.4,0.43,0.5,0.00,-0.7,-0.05,0.3,0.02,-0.33,0.08
11,5,Manila,4.5,313.76,30.3,2.01,6.3,0.42,0.8,0.01,0.3,0.02,0.4,0.04,0.15,0.64
11,6,Manila,4.1,130.41,26.3,1.75,1.4,0.10,0.4,0.00,0.2,0.01,0.2,0.02,0.09,0.23
11,7,Christplant,0.9,42.74,0.5,0.03,0.6,0.04,0.0,0.00,0.0,0.00,0.0,0.00,0.00,0.04
13,1,Pseudophoenix spp,5.5,715.11,41.1,2.74,8.1,0.54,0.5,0.00,,,0.3,0.03,,0.57
13,2,Pseudophoenix spp,11.4,511.56,107.7,7.16,15.7,1.04,1.0,0.01,,,0.5,0.05,,1.10
13,3,Pseudophoenix spp,10.7,486.12,94.5,6.28,14.4,0.96,0.7,0.01,,,0.3,0.03,,1.00
13,4,Pseudophoenix spp,12.0,498.84,116.3,7.74,16.5,1.10,0.6,0.01,,,0.3,0.03,,1.13
13,5,Pseudophoenix spp,10.2,715.11,95.2,6.33,14.3,0.95,0.5,0.00,,,0.3,0.03,,0.98
13,6,Pseudophoenix spp,8.6,689.67,71.7,4.77,11.9,0.79,0.5,0.00,,,0.2,0.02,,0.82
13,7,Pseudophoenix spp,11.3,587.89,108.2,7.20,15.7,1.04,0.6,0.01,,,0.3,0.03,,1.08
14,1,Bauhinia,4.0,199.82,29.6,1.97,14.6,0.97,1.2,0.01,,,0.6,0.06,,1.04
14,2,Bauhinia,3.6,167.17,30.2,2.01,6.7,0.45,1.9,0.02,,,0.9,0.09,,0.55
18,1,West indian mahogany,23.3,"4,087.72","3,648.2",242.69,401.9,26.74,19.6,0.18,17.2,1.14,9.9,0.95,8.81,37.82
19,1,Panama tree,73.6,"30,018.94","11,615.4",772.70,2.1,0.14,311.7,2.78,145.9,9.71,157.9,15.11,80.04,107.78
19,2,Manila,6.4,"1,187.25",70.2,4.67,4.3,0.29,2.5,0.02,-0.9,-0.06,1.3,0.12,1.87,2.23
19,3,Manila,6.1,915.77,56.7,3.77,3.9,0.26,2.0,0.02,22.5,1.50,1.0,0.09,13.94,15.81
20,1,Mango,14.7,"2,089.27",938.1,62.40,48.6,3.23,71.1,0.64,43.4,2.89,36.0,3.45,21.10,31.30
20,2,Rain tree,26.4,"7,990.02","2,577.3",171.46,134.0,8.92,99.5,0.89,82.2,5.47,50.4,4.82,45.09,65.18
20,3,Mango,1.9,69.68,33.2,2.21,4.9,0.33,38.4,0.34,57.4,3.82,19.5,1.86,32.73,39.08

