Plot ID,Tree ID,Species Name,Leaf Area (ft^2),Potential Evapotranspiration (gal/yr),Evaporation (gal/yr),Transpiration (gal/yr),Water Intercepted (gal/yr),Avoided Runoff (gal/yr),Avoided Runoff Value ($/yr)
2,1,Florida royal palm,22.9,90.1,1.9,58.0,1.9,0.3,0.00
2,2,Areca palm,29.1,114.5,2.4,73.7,2.4,0.4,0.00
2,3,Areca palm,16.1,63.4,1.4,40.8,1.4,0.2,0.00
4,1,Areca palm,114.8,451.5,9.6,290.4,9.6,1.7,0.02
7,1,Mango,"8,650.2","34,012.8",725.2,"21,881.0",725.2,131.1,1.17
7,2,Puerto rico royal palm,489.8,"1,925.9",41.1,"1,239.0",41.1,7.4,0.07
7,3,Cecropia,"6,704.5","26,362.2",562.1,"16,959.2",562.1,101.6,0.91
7,4,African tulip tree,"2,979.9","11,716.9",249.8,"7,537.6",249.8,45.2,0.40
7,5,Spanish lime,"8,316.0","32,698.6",697.2,"21,035.6",697.2,126.0,1.13
7,6,Royal poinciana,"1,561.0","6,138.0",130.9,"3,948.7",130.9,23.7,0.21
8,1,Pink Poui,93.5,367.7,7.8,236.6,7.8,1.4,0.01
8,2,Manila,86.6,340.5,7.3,219.0,7.3,1.3,0.01
8,3,Manila,122.5,481.5,10.3,309.8,10.3,1.9,0.02
8,4,Manila,65.9,259.0,5.5,166.6,5.5,1.0,0.01
8,5,Manila,80.8,317.6,6.8,204.3,6.8,1.2,0.01
8,6,Manila,47.0,184.6,3.9,118.8,3.9,0.7,0.01
9,1,Indian albizia,"1,433.3","5,635.9",120.2,"3,625.7",120.2,21.7,0.19
10,1,Manilkara spp,179.0,703.7,15.0,452.7,15.0,2.7,0.02
10,2,Cabbage palmetto,363.1,"1,427.8",30.4,918.6,30.4,5.5,0.05
10,3,Sea grape,253.8,998.0,21.3,642.0,21.3,3.8,0.03
11,1,Manila,47.4,186.5,4.0,120.0,4.0,0.7,0.01
11,2,Haitian catalpa,"1,890.5","7,433.3",158.5,"4,782.0",158.5,28.7,0.26
11,3,Manila,58.2,229.0,4.9,147.3,4.9,0.9,0.01
11,4,Manila,32.6,128.3,2.7,82.5,2.7,0.5,0.00
11,5,Manila,54.2,213.1,4.5,137.1,4.5,0.8,0.01
11,6,Manila,26.0,102.1,2.2,65.7,2.2,0.4,0.00
11,7,Christplant,0.9,3.5,0.1,2.2,0.1,0.0,0.00
13,1,Pseudophoenix spp,36.0,141.4,3.0,91.0,3.0,0.5,0.00
13,2,Pseudophoenix spp,68.1,267.8,5.7,172.3,5.7,1.0,0.01
13,3,Pseudophoenix spp,42.9,168.8,3.6,108.6,3.6,0.7,0.01
13,4,Pseudophoenix spp,39.1,153.7,3.3,98.9,3.3,0.6,0.01
13,5,Pseudophoenix spp,34.7,136.3,2.9,87.7,2.9,0.5,0.00
13,6,Pseudophoenix spp,30.9,121.6,2.6,78.2,2.6,0.5,0.00
13,7,Pseudophoenix spp,37.8,148.6,3.2,95.6,3.2,0.6,0.01
14,1,Bauhinia,76.3,299.8,6.4,192.9,6.4,1.2,0.01
14,2,Bauhinia,123.3,485.0,10.3,312.0,10.3,1.9,0.02
18,1,West indian mahogany,"1,295.3","5,093.3",108.6,"3,276.6",108.6,19.6,0.18
19,1,Panama tree,"20,563.0","80,854.3","1,724.0","52,014.9","1,724.0",311.7,2.78
19,2,Manila,165.5,650.8,13.9,418.7,13.9,2.5,0.02
19,3,Manila,129.0,507.1,10.8,326.2,10.8,2.0,0.02
20,1,Mango,"4,690.8","18,444.5",393.3,"11,865.7",393.3,71.1,0.64
20,2,Rain tree,"6,565.1","25,814.0",550.4,"16,606.6",550.4,99.5,0.89
20,3,Mango,"2,536.0","9,971.5",212.6,"6,414.9",212.6,38.4,0.34

