Plot ID,Tree ID,Species Name,CO Removed (oz/yr),O3 Removed (oz/yr),NO2 Removed (oz/yr),SO2 Removed (oz/yr),PM10* Removed (oz/yr),PM2.5 Removed (oz/yr),CO Removed ($/yr),O3 Removed ($/yr),NO2 Removed ($/yr),SO2 Removed ($/yr),PM10* Removed ($/yr),PM2.5 Removed ($/yr)
21,1,Spanish lime,7.8,16.9,0.0,2.6,15.2,0.2,0.36,0.22,0.00,0.00,3.26,0.10
21,2,French plantain,0.1,0.3,0.0,0.0,0.3,0.0,0.01,0.00,0.00,0.00,0.06,0.00
22,1,Lemon,0.1,0.3,0.0,0.0,0.2,0.0,0.01,0.00,0.00,0.00,0.05,0.00
24,1,Neem Tree,0.3,0.6,0.0,0.1,0.5,0.0,0.01,0.01,0.00,0.00,0.11,0.00
26,1,Black olive,0.2,0.3,0.0,0.1,0.3,0.0,0.01,0.00,0.00,0.00,0.07,0.00
29,1,Florida royal palm,0.5,1.0,0.0,0.2,0.9,0.0,0.02,0.01,0.00,0.00,0.20,0.01
29,2,Manila,0.1,0.1,0.0,0.0,0.1,0.0,0.00,0.00,0.00,0.00,0.02,0.00
29,3,Manila,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.01,0.00
29,4,Manila,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00

